"cursoId","titulo","descripcion","nivel","anioPublicacion","calificacionPromedio"
"C001","Python : Fondamentaux et Projets","Python : Fondamentaux et Projets - Cours complet.","Básico","2017","4.4"
"C002","React Avançado: Padrões e Hooks","React Avançado: Padrões e Hooks - Curso abrangente.","Intermedio","2022","4.55"
"C003","Machine Learning with Python","Machine Learning with Python - Comprehensive course.","Avanzado","2024","4.03"
"C004","SQL and Database Design","SQL and Database Design - Comprehensive course.","Básico","2020","4.4"
"C005","Desenvolvimento Web Fullstack com Node.js","Desenvolvimento Web Fullstack com Node.js - Curso abrangente.","Intermedio","2016","4.7"
"C006","IA con Deep Learning","Curso completo de ia con deep learning.","Avanzado","2025","4.41"
"C007","Seguridad ofensiva: Pentesting básico","Curso completo de seguridad ofensiva: pentesting básico.","Básico","2021","3.82"
"C008","Docker y DevOps esencial","Curso completo de docker y devops esencial.","Intermedio","2025","3.64"
"C009","C++ e padrões de design","C++ e padrões de design - Curso abrangente.","Avanzado","2021","4.78"
"C010","APIs con Django REST Framework","Curso completo de apis con django rest framework.","Básico","2024","4.45"
"C011","Data Visualization with D3.js","Data Visualization with D3.js - Comprehensive course.","Intermedio","2024","3.62"
"C012","Testing and Software Quality","Testing and Software Quality - Comprehensive course.","Avanzado","2016","4.07"
"C013","Microservicios y Kubernetes","Curso completo de microservicios y kubernetes.","Básico","2024","4.1"
"C014","Advanced Git and Professional Workflows","Advanced Git and Professional Workflows - Comprehensive course.","Intermedio","2018","3.56"
"C015","Optimisation d'algorithmes","Optimisation d'algorithmes - Cours complet.","Avanzado","2023","4.61"
"C016","Cloud Computing con AWS","Curso completo de cloud computing con aws.","Básico","2020","3.78"
"C017","Desarrollo móvil con Flutter","Curso completo de desarrollo móvil con flutter.","Intermedio","2018","3.71"
"C018","Análisis de datos con Pandas","Curso completo de análisis de datos con pandas.","Avanzado","2020","4.34"
"C019","Ingeniería de Software: Arquitectura","Curso completo de ingeniería de software: arquitectura.","Básico","2024","4.41"
"C020","Ciberseguridad avanzada","Curso completo de ciberseguridad avanzada.","Intermedio","2019","4.88"
