"leccionId","titulo","descripcion","duracionMin","numero"
"L000001","Installation et configuration - Introduction à Python","Installation et configuration - Introduction à Python - Contenu théorique et pratique.",6,1
"L000002","Concepts et théorie - Introduction à Python","Concepts et théorie - Introduction à Python - Contenu théorique et pratique.",13,2
"L000003","Exemple pratique guidé - Introduction à Python","Exemple pratique guidé - Introduction à Python - Contenu théorique et pratique.",5,3
"L000004","Exercice pour l'étudiant - Introduction à Python","Exercice pour l'étudiant - Introduction à Python - Contenu théorique et pratique.",5,4
"L000005","Installation et configuration - Structures de données et collections","Installation et configuration - Structures de données et collections - Contenu théorique et pratique.",12,1
"L000006","Concepts et théorie - Structures de données et collections","Concepts et théorie - Structures de données et collections - Contenu théorique et pratique.",16,2
"L000007","Exemple pratique guidé - Structures de données et collections","Exemple pratique guidé - Structures de données et collections - Contenu théorique et pratique.",22,3
"L000008","Exercice pour l'étudiant - Structures de données et collections","Exercice pour l'étudiant - Structures de données et collections - Contenu théorique et pratique.",9,4
"L000009","Installation et configuration - Programmation orientée objet","Installation et configuration - Programmation orientée objet - Contenu théorique et pratique.",11,1
"L000010","Concepts et théorie - Programmation orientée objet","Concepts et théorie - Programmation orientée objet - Contenu théorique et pratique.",16,2
"L000011","Exemple pratique guidé - Programmation orientée objet","Exemple pratique guidé - Programmation orientée objet - Contenu théorique et pratique.",13,3
"L000012","Installation et configuration - Projet pratique","Installation et configuration - Projet pratique - Contenu théorique et pratique.",18,1
"L000013","Concepts et théorie - Projet pratique","Concepts et théorie - Projet pratique - Contenu théorique et pratique.",7,2
"L000014","Exemple pratique guidé - Projet pratique","Exemple pratique guidé - Projet pratique - Contenu théorique et pratique.",15,3
"L000015","Instalação e configuração - Fundamentos do React","Instalação e configuração - Fundamentos do React - Conteúdo teórico e prático.",7,1
"L000016","Conceitos e teoria - Fundamentos do React","Conceitos e teoria - Fundamentos do React - Conteúdo teórico e prático.",8,2
"L000017","Exemplo prático guiado - Fundamentos do React","Exemplo prático guiado - Fundamentos do React - Conteúdo teórico e prático.",24,3
"L000018","Exercício para o aluno - Fundamentos do React","Exercício para o aluno - Fundamentos do React - Conteúdo teórico e prático.",27,4
"L000019","Instalação e configuração - Estado e Hooks em profundidade","Instalação e configuração - Estado e Hooks em profundidade - Conteúdo teórico e prático.",8,1
"L000020","Conceitos e teoria - Estado e Hooks em profundidade","Conceitos e teoria - Estado e Hooks em profundidade - Conteúdo teórico e prático.",7,2
"L000021","Exemplo prático guiado - Estado e Hooks em profundidade","Exemplo prático guiado - Estado e Hooks em profundidade - Conteúdo teórico e prático.",7,3
"L000022","Exercício para o aluno - Estado e Hooks em profundidade","Exercício para o aluno - Estado e Hooks em profundidade - Conteúdo teórico e prático.",8,4
"L000023","Instalação e configuração - Roteamento e Arquitetura","Instalação e configuração - Roteamento e Arquitetura - Conteúdo teórico e prático.",20,1
"L000024","Conceitos e teoria - Roteamento e Arquitetura","Conceitos e teoria - Roteamento e Arquitetura - Conteúdo teórico e prático.",8,2
"L000025","Exemplo prático guiado - Roteamento e Arquitetura","Exemplo prático guiado - Roteamento e Arquitetura - Conteúdo teórico e prático.",18,3
"L000026","Exercício para o aluno - Roteamento e Arquitetura","Exercício para o aluno - Roteamento e Arquitetura - Conteúdo teórico e prático.",10,4
"L000027","Installation and setup - Introduction to Python","Installation and setup - Introduction to Python - Theoretical and practical content.",5,1
"L000028","Concepts and theory - Introduction to Python","Concepts and theory - Introduction to Python - Theoretical and practical content.",9,2
"L000029","Guided practical example - Introduction to Python","Guided practical example - Introduction to Python - Theoretical and practical content.",5,3
"L000030","Installation and setup - Data Structures and Collections","Installation and setup - Data Structures and Collections - Theoretical and practical content.",29,1
"L000031","Concepts and theory - Data Structures and Collections","Concepts and theory - Data Structures and Collections - Theoretical and practical content.",26,2
"L000032","Guided practical example - Data Structures and Collections","Guided practical example - Data Structures and Collections - Theoretical and practical content.",23,3
"L000033","Exercise for the student - Data Structures and Collections","Exercise for the student - Data Structures and Collections - Theoretical and practical content.",30,4
"L000034","Installation and setup - Object-Oriented Programming","Installation and setup - Object-Oriented Programming - Theoretical and practical content.",28,1
"L000035","Concepts and theory - Object-Oriented Programming","Concepts and theory - Object-Oriented Programming - Theoretical and practical content.",16,2
"L000036","Guided practical example - Object-Oriented Programming","Guided practical example - Object-Oriented Programming - Theoretical and practical content.",12,3
"L000037","Exercise for the student - Object-Oriented Programming","Exercise for the student - Object-Oriented Programming - Theoretical and practical content.",22,4
"L000038","Installation and setup - Practical Project","Installation and setup - Practical Project - Theoretical and practical content.",9,1
"L000039","Concepts and theory - Practical Project","Concepts and theory - Practical Project - Theoretical and practical content.",11,2
"L000040","Guided practical example - Practical Project","Guided practical example - Practical Project - Theoretical and practical content.",14,3
"L000041","Installation and setup - Introduction to SQL","Installation and setup - Introduction to SQL - Theoretical and practical content.",18,1
"L000042","Concepts and theory - Introduction to SQL","Concepts and theory - Introduction to SQL - Theoretical and practical content.",30,2
"L000043","Guided practical example - Introduction to SQL","Guided practical example - Introduction to SQL - Theoretical and practical content.",11,3
"L000044","Installation and setup - Advanced Queries and Joins","Installation and setup - Advanced Queries and Joins - Theoretical and practical content.",30,1
"L000045","Concepts and theory - Advanced Queries and Joins","Concepts and theory - Advanced Queries and Joins - Theoretical and practical content.",24,2
"L000046","Guided practical example - Advanced Queries and Joins","Guided practical example - Advanced Queries and Joins - Theoretical and practical content.",24,3
"L000047","Exercise for the student - Advanced Queries and Joins","Exercise for the student - Advanced Queries and Joins - Theoretical and practical content.",16,4
"L000048","Installation and setup - Relational Modeling","Installation and setup - Relational Modeling - Theoretical and practical content.",18,1
"L000049","Concepts and theory - Relational Modeling","Concepts and theory - Relational Modeling - Theoretical and practical content.",30,2
"L000050","Guided practical example - Relational Modeling","Guided practical example - Relational Modeling - Theoretical and practical content.",7,3
"L000051","Exercise for the student - Relational Modeling","Exercise for the student - Relational Modeling - Theoretical and practical content.",25,4
"L000052","Instalação e configuração - Introdução ao Python","Instalação e configuração - Introdução ao Python - Conteúdo teórico e prático.",10,1
"L000053","Conceitos e teoria - Introdução ao Python","Conceitos e teoria - Introdução ao Python - Conteúdo teórico e prático.",17,2
"L000054","Exemplo prático guiado - Introdução ao Python","Exemplo prático guiado - Introdução ao Python - Conteúdo teórico e prático.",17,3
"L000055","Exercício para o aluno - Introdução ao Python","Exercício para o aluno - Introdução ao Python - Conteúdo teórico e prático.",14,4
"L000056","Instalação e configuração - Estruturas de dados e coleções","Instalação e configuração - Estruturas de dados e coleções - Conteúdo teórico e prático.",22,1
"L000057","Conceitos e teoria - Estruturas de dados e coleções","Conceitos e teoria - Estruturas de dados e coleções - Conteúdo teórico e prático.",5,2
"L000058","Exemplo prático guiado - Estruturas de dados e coleções","Exemplo prático guiado - Estruturas de dados e coleções - Conteúdo teórico e prático.",7,3
"L000059","Instalação e configuração - Programação Orientada a Objetos","Instalação e configuração - Programação Orientada a Objetos - Conteúdo teórico e prático.",5,1
